query_id,outcome,winner_run_ids,confidence,short_rationale
q_001,single_winner,andrew,medium,"C offers the best overall balance for this broad healthcare ML query: strong relevance metrics, the highest nDCG among the four, and noticeably better topical breadth/diversity than D. D has the best absolute relevance and recall, but it is narrower. A is solid but clearly below C/D, while B is the weakest on relevance despite decent coverage."
q_002,single_winner,massimo,high,"B has the best overall blend of relevance, ranking quality, and pooled recall, with multiple top results directly on graph learning for biological problems and the strongest support metrics. A is also fairly strong and clearly better than C and D, but it is slightly less focused and has weaker coverage than B. C is mostly biology rather than graph learning, so it is less aligned with the query despite some relevant bio-graph items. D is the least relevant, dominated by generic graph-learning papers with little biological focus."
q_003,single_winner,massimo,medium,"D has the strongest overall balance for a broad query on fairness in AI for education: highly relevant fairness/ethics papers are placed at the top, pooled-relevant recall is tied for best, and graded relevance is highest among the stronger systems. A is very close and slightly better on nDCG@10, but D’s top results are more consistently centered on fairness, bias, privacy, and educational context. B is also strong at the top but has notably lower recall and mean relevance. C is clearly the weakest, with mostly generic AI-in-education papers and little direct focus on fairness."
q_004,single_winner,nomic,high,"D is clearly strongest: it has the best support metrics by a wide margin and its top results are tightly aligned with multimodal perception, navigation, and robot interaction. A is second-best with several relevant robotics papers, but it is diluted by education/VR items. B has some relevant robotics and multimodal papers, but also more off-topic items and weaker recall than A. C is the weakest because most results are robotics/control papers that do not really match multimodal learning, despite some robotics relevance."
q_005,single_winner,massimo,high,"D is the strongest overall: it has the best high-relevance rate, mean relevance, pooled-relevant recall, and nDCG@10, and its top ranks are tightly focused on healthcare federated learning. C is next best, with excellent ranking quality and broad topical coverage, but it includes more off-topic/non-medicine items and lower pooled recall than D. B is solid but has weaker recall and average relevance than C. A is the weakest of the four, with the lowest recall and lower relevance quality despite being on-topic."
q_006,single_winner,massimo,medium,"A is the strongest overall: its top-10 is tightly centered on retrieval-augmented generation with consistently relevant, informative papers and excellent judged relevance metrics. D is also strong and perhaps slightly broader, but it mixes in more tangential items and is a bit weaker on relevance metrics. B has some good RAG papers but is hurt by clearly off-topic entries. C is mostly unrelated to the query and performs worst by far."
q_007,single_winner,nomic,high,"C has the strongest overall ranking quality and relevance for the broad query, with the best nDCG@10 and highly relevant top results centered on climate modeling and AI for climate applications. B is also strong and has excellent pooled recall, but its top result is less directly about climate modeling. A is more energy/sustainability-adjacent than climate-modeling-specific. D is the weakest, with several tangential environmental papers and lower relevance/coverage."
q_008,single_winner,massimo,medium,"C has the strongest overall mix of highly relevant speech/self-supervised papers with good breadth across SSL for speech, ASR, multilingual SSL, and audio representation. D is extremely strong on top-ranked relevance and pooled recall, but it includes a few more off-topic items and is slightly less broad in the speech-SSL sense. A has several relevant speech SSL papers but more noise, while B is the weakest with many off-topic results and low high-relevance coverage."
q_009,single_winner,massimo,medium,"D has the strongest overall ranking quality, with the best nDCG@10 and tied-high relevance rates/mean relevance, while its top results are tightly aligned with computer vision in agriculture (UAV imagery, crop monitoring, disease detection). C is extremely close and also strong, but D’s ordering is slightly better. B has higher pooled recall, but its top results are a bit less consistently on-target than C/D. A is clearly weaker, with notably lower relevance and recall and several less directly matched items."
q_010,single_winner,nomic,high,"B offers the best overall balance of relevance to trustworthy AI in finance, strong pooled recall, solid top-10 graded relevance, and useful breadth across trust, governance, fraud detection, risk management, and forecasting. A is very strong on topical relevance and rank quality but is slightly weaker than B on coverage/diversity and pooled recall. D is respectable but more generic and less directly centered on trustworthiness, while C is the least aligned overall and includes substantial off-topic healthcare material."
