run_id,query_id,query_type,precision_at_10,ndcg_at_10,mean_relevance_at_10,mean_relevance_norm_at_10,high_relevance_rate_at_10,weak_or_irrelevant_rate_at_10,relevant_count_at_10,high_relevance_count_at_10,reciprocal_rank_at_10,high_relevance_reciprocal_rank_at_10,exploration_range_raw,exploration_range_norm,broad_summary_score,field_jaccard_mean_at_10,subfield_jaccard_mean_at_10,field_diversity_at_10,subfield_diversity_at_10,field_subfield_diversity_at_10,venue_pairwise_match_rate_at_10,venue_diversity_count_at_10,mean_citation_count_at_10,mean_reference_count_at_10,pooled_candidate_count,pooled_relevant_count,pooled_relevant_recall_at_10,pooled_high_relevance_recall_at_10,pooled_coverage_at_10,unique_paper_count_at_10,unique_relevant_count_at_10,overlap_jaccard_mean_at_10
andrew,q_001,broad,1.0000,0.9049,2.6000,0.8667,0.6000,0.0000,10,6,1.0000,1.0000,4,0.7500,0.9250,0.9333,1.0000,0.0667,0.0000,0.0333,0.0000,9,5.4000,25.2000,26,25,0.4000,0.4000,0.3846,6,6,0.1250
andrew,q_002,broad,0.2000,0.5717,1.1000,0.3667,0.1000,0.8000,2,1,0.1429,0.1111,2,0.2500,0.2150,0.4911,0.5778,0.5089,0.4222,0.4656,0.0222,9,6.2000,39.0000,27,11,0.1818,0.1667,0.3704,7,1,0.0882
andrew,q_003,broad,0.3000,0.9344,1.4000,0.4667,0.3000,0.7000,3,3,1.0000,1.0000,3,0.5000,0.3600,0.6704,0.6704,0.3296,0.3296,0.3296,0.0000,9,4.8000,35.5000,28,10,0.3000,0.7500,0.3571,8,1,0.0556
andrew,q_004,broad,0.1000,0.6207,1.1000,0.3667,0.1000,0.9000,1,1,0.2000,0.2000,2,0.2500,0.1450,0.5704,0.6593,0.4296,0.3407,0.3852,0.0357,7,6.0000,36.8000,28,5,0.2000,0.3333,0.3571,8,0,0.0556
andrew,q_005,broad,0.4000,0.9653,1.8000,0.6000,0.4000,0.6000,4,4,1.0000,1.0000,3,0.5000,0.4300,0.5722,0.5611,0.4278,0.4389,0.4333,0.0222,9,53.5000,38.8000,21,11,0.3636,0.4000,0.4762,6,1,0.1806
andrew,q_006,broad,1.0000,0.9034,2.8000,0.9333,0.8000,0.0000,10,8,1.0000,0.5000,5,1.0000,1.0000,0.5722,0.5722,0.4278,0.4278,0.4278,0.0222,9,2.1000,32.3000,26,16,0.6250,0.5714,0.3846,6,6,0.1250
andrew,q_007,broad,0.2000,0.7376,1.1000,0.3667,0.1000,0.8000,2,1,0.5000,0.5000,3,0.5000,0.2900,0.5315,0.5833,0.4685,0.4167,0.4426,0.0000,9,11.1000,31.6000,25,7,0.2857,0.3333,0.4000,7,1,0.0882
andrew,q_008,broad,0.4000,0.6726,1.2000,0.4000,0.3000,0.6000,4,3,0.5000,0.5000,3,0.5000,0.4300,0.5204,0.5889,0.4796,0.4111,0.4454,0.0000,9,5.1000,33.7000,26,8,0.5000,1.0000,0.3846,7,1,0.0882
andrew,q_009,broad,0.6000,0.6350,1.8000,0.6000,0.2000,0.4000,6,2,0.2500,0.1667,3,0.5000,0.5700,0.7000,0.7889,0.3000,0.2111,0.2556,0.0000,10,8.5000,33.7000,28,22,0.2727,0.1818,0.3571,8,4,0.0526
andrew,q_010,broad,0.5000,0.6136,1.5000,0.5000,0.2000,0.5000,5,2,0.2500,0.2500,4,0.7500,0.5750,0.5019,0.5019,0.4981,0.4981,0.4981,0.0000,10,0.2000,14.7000,24,13,0.3846,0.5000,0.4167,7,2,0.0819
andrew,q_011,broad,0.1000,0.9782,0.9000,0.3000,0.0000,0.9000,1,0,1.0000,0.0000,4,0.7500,0.2950,0.4441,0.4441,0.5559,0.5559,0.5559,0.0833,7,13.9000,36.5000,28,3,0.3333,0.0000,0.3571,8,1,0.0526
andrew,q_012,broad,0.2000,0.7418,1.1000,0.3667,0.1000,0.8000,2,1,0.5000,0.5000,2,0.2500,0.2150,0.5415,0.5415,0.4585,0.4585,0.4585,0.0000,9,10.5000,31.2000,30,15,0.1333,0.2000,0.3333,10,2,0.0000
andrew,q_013,broad,0.4000,0.7677,1.1000,0.3667,0.2000,0.6000,4,2,1.0000,0.5000,2,0.2500,0.3550,0.4900,0.5519,0.5100,0.4481,0.4791,0.0476,6,7.9000,33.8000,27,15,0.2667,0.3333,0.3704,10,4,0.0000
andrew,q_014,broad,0.8000,0.9328,2.3000,0.7667,0.6000,0.2000,8,6,1.0000,1.0000,3,0.5000,0.7100,0.5907,0.5907,0.4093,0.4093,0.4093,0.0222,9,2.2000,53.7000,24,21,0.3810,0.3750,0.4167,9,7,0.0526
andrew,q_015,broad,0.9000,0.8478,2.7000,0.9000,0.8000,0.1000,9,8,0.5000,0.5000,4,0.7500,0.8550,0.6019,0.6019,0.3981,0.3981,0.3981,0.0000,10,5.1000,34.2000,21,18,0.5000,0.5333,0.4762,5,4,0.2132
andrew,q_016,broad,0.5000,0.7448,1.7000,0.5667,0.2000,0.5000,5,2,1.0000,0.2500,4,0.7500,0.5750,0.5670,0.6130,0.4330,0.3870,0.4100,0.0000,10,7.6000,54.6000,27,10,0.5000,1.0000,0.3704,8,3,0.0819
andrew,q_017,broad,0.7000,0.9148,2.2000,0.7333,0.5000,0.3000,7,5,1.0000,1.0000,4,0.7500,0.7150,0.4704,0.4704,0.5296,0.5296,0.5296,0.0222,9,14.0000,34.2000,24,15,0.4667,0.4545,0.4167,5,3,0.1930
